id,都道府県id,低料金順位,全国順位,団体名,水道料金（円）,値上げ率（％）,料金回収率（％）,経常収支比率（％）,財政力指数
196,5,16,1002,羽後町,4324,0,114.68,115.62,0.24
197,6,7,975,山形市,4266,0,111.28,118.11,0.75
198,6,2,827,米沢市,3877,0,122.43,127.24,0.55
199,6,10,1024,鶴岡市,4428,0,100.63,107.28,0.42
200,6,5,967,酒田市,4244,0,101.35,112.9,0.47
201,6,15,1064,新庄市,4536,0,92.53,99.98,0.5
202,6,18,1128,寒河江市,4773,0,111.11,113.77,0.53
203,6,12,1045,上山市,4480,0,99.71,103.76,0.47
204,6,19,1145,村山市,4881,0,98.08,101.83,0.36
205,6,20,1149,長井市,4914,0,103.98,107.82,0.44
206,6,16,1117,天童市,4752,0,116.15,119.62,0.66
207,6,10,1024,東根市,4428,0,125.94,129.87,0.59
208,6,16,1117,南陽市,4752,0,111.98,117.08,0.45
209,6,3,934,河北町,4147,0,112.58,116.73,0.43
210,6,4,948,西川町,4190,0,101.83,103.8,0.23
211,6,6,971,朝日町,4250,0,108.05,115.63,0.2
212,6,23,1186,大江町,5140,0,97.6,99.32,0.27
213,6,25,1220,金山町,5452,0,64.32,94.62,0.2
214,6,12,1045,最上町,4480,0,94.52,109.17,0.23
215,6,27,1226,真室川町,5551,0,66.82,100.62,0.2
216,6,21,1157,高畠町,4968,0,108.89,112.09,0.37
217,6,28,1231,川西町,5594,0,98.77,101.09,0.24
218,6,1,645,小国町,3402,0,125.44,125.85,0.25
219,6,8,991,白鷹町,4320,0,110.06,115.34,0.28
220,6,14,1056,飯豊町,4514,0,132.4,136.74,0.19
221,6,22,1166,庄内町,5011,0,99.58,101.57,0.31
222,6,24,1214,遊佐町,5400,0,118.43,120.9,0.28
223,6,26,1222,最上川中部水道企業団,5500,0,121.95,126.61,-
224,6,8,991,尾花沢市大石田町環境衛生事業組合,4320,0,134.54,134.7,-
225,7,30,1162,福島市,5000,-3.34,104.95,111.55,0.75
226,7,14,932,会津若松市,4136,0,94.15,99.35,0.62
227,7,31,1198,郡山市,5259,0,118.08,126.08,0.79
228,7,28,1136,いわき市,4827,0,129.9,136.04,0.75
229,7,5,570,白河市,3196,0,99.61,114.88,0.6
230,7,11,829,須賀川市,3879,0,107.83,116.38,0.58
231,7,15,948,喜多方市,4190,0,103.85,109.18,0.37
232,7,9,773,二本松市,3682,0,108.89,121.85,0.44
233,7,35,1241,田村市,5950,0,88.36,105.32,0.33
234,7,27,1117,南相馬市,4752,0,140.39,160.34,0.64
235,7,36,1247,伊達市,6048,0,100.34,108.39,0.4
236,7,6,667,本宮市,3456,0,105.89,114.89,0.63
237,7,34,1235,桑折町,5724,0,110.07,121.59,0.45
238,7,25,1079,国見町,4557,0,111.24,115.92,0.29
239,7,22,1064,川俣町,4536,0,115.55,118.7,0.36
240,7,6,667,大玉村,3456,0,94.38,105.36,0.36
241,7,23,1075,鏡石町,4543,19.62,113.43,118.63,0.55
242,7,13,903,天栄村,4070,0,80.08,103.83,0.3
243,7,19,1016,南会津町,4400,10.55,109.06,112.1,0.23
244,7,20,1050,西会津町,4492,0,75.98,107.49,0.2
245,7,29,1157,猪苗代町,4968,0,110.86,114.86,0.39
246,7,37,1250,会津坂下町,6170,0,100.12,103.38,0.38
247,7,18,1013,会津美里町,4384,0,94.97,112.07,0.27
248,7,2,320,西郷村,2700,0,114.31,122.43,0.9
249,7,26,1106,泉崎村,4698,0,81.46,121.91,0.54
250,7,33,1214,矢吹町,5400,0,86.99,104.26,0.55
251,7,24,1078,棚倉町,4551,0,95.19,123.61,0.56
252,7,1,257,矢祭町,2590,,61.03,145.84,0.37
253,7,4,511,塙町,3052,0,45.33,104.64,0.27
254,7,12,885,石川町,4026,0,124.28,131.36,0.42
255,7,10,814,玉川村,3810,0,51.85,103.2,0.34
256,7,8,752,浅川町,3618,0,88.88,101.19,0.34
257,7,32,1210,三春町,5367,0,111.92,115.82,0.41
258,7,20,1050,小野町,4492,0,92.05,104.91,0.34
259,7,16,991,浪江町,4320,0,2.56,242.74,0.42
260,7,3,384,双葉地方水道企業団,2808,0,19.63,93.11,-
261,7,17,1004,相馬地方広域水道企業団,4330,0,129,132.72,-
262,8,4,457,水戸市,2945,0,104.31,113.12,0.85
263,8,2,435,日立市,2916,0,102.65,113.6,0.83
264,8,16,892,土浦市,4044,0,105.59,105.75,0.88
265,8,6,560,古河市,3175,0,115.37,121.7,0.75
266,8,38,1127,石岡市,4771,0,119.25,120.21,0.61
267,8,10,717,結城市,3537,0,104.61,108.28,0.7
268,8,28,1016,下妻市,4400,0,90.93,99.9,0.67
269,8,21,962,常総市,4221,0,97.12,108.11,0.73
270,8,20,961,常陸太田市,4217,0,102.79,110.12,0.41
271,8,7,600,高萩市,3261,0,120.02,125.93,0.6
272,8,8,625,北茨城市,3348,0,99.56,104.63,0.67
273,8,17,909,笠間市,4087,-11.99,94.77,106.6,0.62
274,8,1,320,つくば市,2700,0,81.32,101.14,1
275,8,11,742,ひたちなか市,3591,0,122.93,131.46,0.94
276,8,32,1064,鹿嶋市,4536,0,102.54,110.91,0.98
277,8,37,1087,潮来市,4590,0,109.44,117.29,0.49
278,8,12,744,守谷市,3594,0,93.83,108.03,0.98
279,8,27,1004,常陸大宮市,4330,0,96.65,111.26,0.43
280,8,14,794,那珂市,3760,0,106.33,114.34,0.65
281,8,25,991,筑西市,4320,0,114.69,117.99,0.68
282,8,35,1076,坂東市,4545,0,99.47,106.47,0.64
283,8,39,1176,稲敷市,5070,0,97.04,106.26,0.52
284,8,23,975,かすみがうら市,4266,0,96.32,105.7,0.61
285,8,41,1192,桜川市,5184,0,93,96.32,0.49
286,8,32,1064,神栖市,4536,13.51,98.13,109.4,1.33
287,8,30,1035,行方市,4443,0,90.69,106.16,0.43
288,8,19,954,鉾田市,4212,0,56.43,101.5,0.43
289,8,32,1064,つくばみらい市,4536,0,112.1,112.87,0.8
290,8,9,689,小美玉市,3488,0,107.95,110.17,0.62
291,8,23,975,茨城町,4266,0,117.82,117.2,0.56
292,8,3,452,大洗町,2937,0,104.64,106.96,0.72
293,8,25,991,城里町,4320,0,73.03,103.16,0.37
294,8,5,508,東海村,3040,0,86.49,106.53,1.52
295,8,18,953,大子町,4210,0,114.07,117.26,0.32
296,8,13,766,美浦村,3672,0,105.6,105.82,0.76
297,8,31,1047,阿見町,4482,0,111.15,119.73,0.9
298,8,40,1177,河内町,5076,0,86.77,99.36,0.37
299,8,42,1206,八千代町,5346,0,135.51,141.5,0.58
300,8,29,1024,五霞町,4428,0,80.48,109.34,0.82
301,8,36,1079,境町,4557,0,91.75,103.75,0.68
302,8,15,798,茨城県南水道企業団,3780,0,103.9,109.97,-
303,8,22,963,湖北水道企業団,4222,0,100.2,106.01,-
304,9,12,575,宇都宮市,3218,0,114.58,122.7,0.98
305,9,1,120,足利市,2250,0,116.46,122.18,0.73
306,9,3,202,栃木市,2457,0,125.06,126.95,0.73
307,9,2,148,佐野市,2317,0,111.23,116.41,0.71
308,9,7,401,鹿沼市,2851,0,126.8,128.94,0.72
309,9,5,287,日光市,2619,0,99.9,105.44,0.62
310,9,9,517,小山市,3067,0,112.74,128.83,0.97
311,9,10,538,真岡市,3132,0,98.74,111.96,0.82
312,9,23,1246,大田原市,6040,0,101.02,108.73,0.64
313,9,18,873,矢板市,3996,0.15,111.31,114.34,0.68
314,9,19,882,那須塩原市,4006,0,108.01,112.1,0.81
315,9,14,707,さくら市,3520,0,101.32,114.6,0.76
316,9,21,1064,那須烏山市,4536,0,113.62,115.84,0.44
317,9,6,303,下野市,2656,0,120.65,126.45,0.78
318,9,10,538,上三川町,3132,0,96.23,116.68,1
319,9,20,883,茂木町,4007,0,87.18,107.07,0.41
320,9,8,481,壬生町,2991,0,119.28,125.55,0.71
321,9,4,239,野木町,2534,0,108.08,110.64,0.85
322,9,17,853,塩谷町,3931,0,67.44,102.23,0.45
323,9,16,737,高根沢町,3574,0,106.19,113.3,0.77
324,9,13,630,那須町,3360,0,92.15,99.57,0.77
325,9,22,1117,那珂川町,4752,0,149.54,143.99,0.39
326,9,15,728,芳賀中部上水道企業団,3564,0,97.69,112.88,-
327,10,6,184,前橋市,2421,0,96.92,104.62,0.8
328,10,8,204,高崎市,2461,2.88,107.32,114.44,0.85
329,10,18,698,桐生市,3510,0,113.62,115.83,0.57
330,10,10,240,伊勢崎市,2538,0,100.55,109.74,0.83
331,10,9,234,沼田市,2510,0,116.39,121.53,0.51
332,10,3,120,渋川市,2250,0,100.98,106.23,0.61
333,10,19,757,藤岡市,3630,0,121.03,126.98,0.64
334,10,20,820,富岡市,3834,0,131.58,145.26,0.64
335,10,14,379,安中市,2800,0,100.99,103.85,0.77
336,10,12,320,榛東村,2700,0,108.7,114.11,0.54
337,10,7,195,吉岡町,2451,0,93.34,103.05,0.67
338,10,17,697,下仁田町,3509,0,92,102.25,0.29
339,10,5,144,甘楽町,2300,0,114.81,115.49,0.47
340,10,16,584,中之条町,3240,0,130.19,129.56,0.39
341,10,21,1095,長野原町,4644,0,78.52,79.47,0.43
342,10,2,20,嬬恋村,1620,0,142.03,137.05,0.41
343,10,1,5,草津町,1418,0,118.05,116.06,0.76
344,10,13,374,東吾妻町,2786,0,93.23,109.54,0.41
345,10,11,299,みなかみ町,2650,0,114.36,116.43,0.44
346,10,4,136,玉村町,2280,0,119.07,123.09,0.76
347,10,15,512,群馬東部水道企業団,3056,,107.36,111.67,-
348,11,50,656,さいたま市,3434,0,116.04,125.8,0.98
349,11,11,116,川越市,2246,0.99,98.69,109.39,0.97
350,11,30,263,熊谷市,2592,0,107.26,110.55,0.88
351,11,38,370,川口市,2775,0,99.5,110.25,0.96
352,11,39,376,行田市,2797,6.15,105.54,111.66,0.7
353,11,14,138,所沢市,2289,0,105.63,116.47,0.96
354,11,33,297,飯能市,2646,0,104.31,113.36,0.79
355,11,43,465,加須市,2966,0,99.85,109.15,0.75
356,11,10,105,本庄市,2203,0,111.37,119.09,0.76
